country_name,year,iea_ghg_energy,iso3c,iea_ghg_fugitive,iea_ghg_fc,iea_ghg_fc_coal,iea_ghg_fc_oil,iea_ghg_fc_gas
Albania,1971,NA,ALB,NA,4.03919787,1.233585366,2.417892411,0.251194867
Albania,1972,NA,ALB,NA,4.626608122,1.342819748,2.858189772,0.289073376
Albania,1973,NA,ALB,NA,4.103547189,1.448208074,2.139874713,0.378939176
Albania,1974,NA,ALB,NA,4.293461688,1.505712766,2.246418574,0.404805123
Albania,1975,NA,ALB,NA,4.524392458,1.608132302,2.181958586,0.597776344
Albania,1976,NA,ALB,NA,4.868955173,1.640529326,2.39357499,0.698325632
Albania,1977,NA,ALB,NA,5.152640034,1.746944706,2.570844471,0.698325632
Albania,1978,NA,ALB,NA,5.821237743,2.235778929,2.743297925,0.705635661
Albania,1979,NA,ALB,NA,6.907178656,2.813365817,3.223434619,0.733852993
Albania,1980,NA,ALB,NA,7.025666869,2.547212651,3.575309281,0.766619712
Albania,1981,NA,ALB,NA,6.044708075,2.698510613,2.443052524,0.766619712
Albania,1982,NA,ALB,NA,6.307800735,3.041940695,2.362715101,0.766619712
Albania,1983,NA,ALB,NA,6.868223165,3.290426621,2.674651606,0.766619712
Albania,1984,NA,ALB,NA,7.435135691,3.553477206,2.978513547,0.766619712
Albania,1985,NA,ALB,NA,7.145442493,3.789702482,2.452595072,0.766619712
Albania,1986,NA,ALB,NA,7.166444988,3.740327987,2.522972063,0.766619712
Albania,1987,NA,ALB,NA,7.449421021,3.895251987,2.651024095,0.766619712
Albania,1988,NA,ALB,NA,7.382519722,3.919708398,2.50854826,0.817737839
Albania,1989,NA,ALB,NA,7.044692958,3.783670657,2.466378411,0.658118664
Albania,1990,NA,ALB,NA,5.872275852,2.478617427,2.782940258,0.478608452
Albania,1991,NA,ALB,NA,3.984073952,1.455247363,2.118247593,0.27846928
Albania,1992,NA,ALB,NA,2.289135451,0.3828677,1.572306286,0.201851751
Albania,1993,NA,ALB,NA,2.122601411,0.192301017,1.642835531,0.161370035
Albania,1994,NA,ALB,NA,2.177973743,0.170327228,1.784778849,0.102509548
Albania,1995,NA,ALB,NA,1.985943136,0.078889701,1.737704218,0.05446706
Albania,1996,NA,ALB,NA,1.996998725,0.114615851,1.727520868,0.045212426
Albania,1997,NA,ALB,NA,1.551184351,0.039557564,1.37109656,0.03586987
Albania,1998,NA,ALB,NA,1.884648841,0.049700751,1.702583884,0.032467048
Albania,1999,NA,ALB,NA,3.049613834,0.114247238,2.829756723,0.031789312
Albania,2000,NA,ALB,NA,3.211712516,0.069140526,3.048702646,0.021175789
Albania,2001,NA,ALB,NA,3.353628331,0.081161226,3.183802734,0.016526275
Albania,2002,NA,ALB,NA,3.904019925,0.061996408,3.726181442,0.027493402
Albania,2003,NA,ALB,NA,3.950420537,0.064024599,3.80213658,0.025370839
Albania,2004,NA,ALB,NA,4.163172853,0.064064463,3.997939529,0.019457614
Albania,2005,NA,ALB,NA,3.980465574,0.054054683,3.824401029,0.021125477
Albania,2006,NA,ALB,NA,3.940833842,0.054054683,3.784769299,0.021125477
Albania,2007,NA,ALB,NA,3.92260318,0.054054258,3.758927098,0.033869122
