iso3c,year,pop_000,le_birth,le_15,le_65,tfr
BDI,1950,2229.322,40.579,44.916,11.046,6.923
BDI,1951,2278.903,40.812,45.066,11.103,6.914
BDI,1952,2327.593,41.003,45.086,11.111,6.9
BDI,1953,2375.478,41.282,45.194,11.149,6.915
BDI,1954,2422.721,41.558,45.318,11.189,6.917
BDI,1955,2470.794,41.855,45.457,11.236,6.93
BDI,1956,2519.592,42.059,45.495,11.25,6.931
BDI,1957,2568.924,42.329,45.608,11.286,6.932
BDI,1958,2618.756,42.559,45.673,11.311,6.949
BDI,1959,2667.551,42.779,45.752,11.329,6.979
BDI,1960,2719.733,43.024,45.807,11.355,7.003
BDI,1961,2773.522,43.252,45.879,11.374,7.023
BDI,1962,2858.423,43.441,45.904,11.376,7.038
BDI,1963,2916.374,43.718,46.011,11.414,7.067
BDI,1964,2979.891,43.974,46.099,11.446,7.09
BDI,1965,3086.551,42.005,44.318,11.061,7.113
BDI,1966,3149.717,43.531,45.89,11.375,7.135
BDI,1967,3237.04,43.341,45.785,11.383,7.156
BDI,1968,3311.946,43.378,45.903,11.39,7.18
BDI,1969,3392.848,42.874,45.491,11.359,7.215
BDI,1970,3456.01,43.041,45.703,11.354,7.214
BDI,1971,3539.659,42.965,45.655,11.336,7.213
BDI,1972,3624.482,25.613,27.851,9.46,7.21
BDI,1973,3533.907,37.275,40,10.833,7.215
BDI,1974,3608.993,43.012,45.73,11.33,7.222
BDI,1975,3711.071,42.982,45.664,11.306,7.244
BDI,1976,3787.393,43.144,45.77,11.343,7.248
BDI,1977,3874.385,43.513,45.962,11.411,7.245
BDI,1978,3980.471,43.764,45.945,11.408,7.259
BDI,1979,4098.348,44.59,46.345,11.537,7.307
BDI,1980,4176.526,45.406,46.65,11.644,7.353
BDI,1981,4449.143,46.393,47.04,11.762,7.329
BDI,1982,4532.344,47.29,47.293,11.838,7.314
BDI,1983,4672.199,48.051,47.429,11.879,7.298
BDI,1984,4780.812,48.491,47.318,11.85,7.295
BDI,1985,4903.724,48.541,46.966,11.745,7.294
BDI,1986,4992.324,48.164,46.322,11.54,7.32
BDI,1987,5091.087,47.516,45.543,11.282,7.38
BDI,1988,5224.45,43.04,41.455,10.588,7.383
BDI,1989,5319.229,45.62,43.678,10.684,7.387
BDI,1990,5428.165,44.86,42.989,10.469,7.365
BDI,1991,5539.422,44.227,42.395,10.308,7.336
BDI,1992,5650.235,43.895,42.149,10.194,7.301
BDI,1993,5835.935,37.105,36.033,9.703,7.272
BDI,1994,5274.505,44.08,42.34,10.291,7.23
BDI,1995,5898.312,44.059,42.326,10.306,7.184
BDI,1996,5967.254,44.373,42.568,10.419,7.123
BDI,1997,5893.759,45.387,43.338,10.688,7.04
BDI,1998,5953.965,46.552,44.238,10.997,6.958
BDI,1999,6116.715,47.528,44.992,11.195,6.897
BDI,2000,6243.645,47.514,44.608,11.266,6.872
BDI,2001,6371.674,48.431,45.165,11.489,6.849
BDI,2002,6559.784,49.891,46.365,11.725,6.819
BDI,2003,6738.092,50.857,47.016,11.856,6.785
BDI,2004,6983.6,52.01,47.757,12.03,6.746
BDI,2005,7257.392,53.023,48.312,12.167,6.708
BDI,2006,7520.357,53.869,48.674,12.249,6.659
BDI,2007,7796.022,54.727,49.044,12.338,6.588
BDI,2008,8093.197,55.71,49.534,12.5,6.515
BDI,2009,8463.021,56.388,49.786,12.559,6.409
BDI,2010,8955.711,57.081,50.074,12.629,6.26
BDI,2011,9297.5,57.769,50.372,12.717,6.108
BDI,2012,9613.966,58.493,50.718,12.815,5.991
BDI,2013,9976.992,59.235,51.102,12.937,5.889
BDI,2014,10322.163,59.868,51.427,13.037,5.794
BDI,2015,10667.662,60.217,51.503,13.097,5.695
BDI,2016,10786.635,60.793,51.846,13.168,5.587
BDI,2017,11020.02,61.553,52.347,13.328,5.481
BDI,2018,11291.166,61.688,52.317,13.321,5.38
BDI,2019,11695.779,62.351,52.758,13.453,5.271
BDI,2020,12053.897,61.566,51.717,12.545,5.177
BDI,2021,12386.556,61.663,51.644,12.453,5.078
COM,1950,159.959,36.549,41.737,10.844,5.686
COM,1951,163.669,33.389,39.825,10.388,5.771
COM,1952,166.618,37.018,41.909,10.847,5.934
COM,1953,169.975,37.331,42.019,10.852,6.085
COM,1954,173.239,37.617,42.077,10.854,6.223
COM,1955,176.371,37.969,42.215,10.861,6.348
COM,1956,179.399,38.281,42.286,10.859,6.46
COM,1957,182.328,38.679,42.461,10.874,6.56
COM,1958,185.801,39.002,42.532,10.873,6.648
COM,1959,189.479,39.34,42.625,10.876,6.725
COM,1960,193.013,39.694,42.73,10.879,6.792
COM,1961,196.692,40.147,42.936,10.908,6.849
COM,1962,200.542,40.58,43.112,10.934,6.897
COM,1963,204.512,40.926,43.223,10.925,6.939
COM,1964,208.579,41.25,43.294,10.925,6.975
COM,1965,212.751,41.7,43.493,10.955,7.004
COM,1966,217.126,42.147,43.699,10.963,7.027
COM,1967,221.612,42.754,44.074,11,7.044
COM,1968,227.031,43.462,44.563,11.041,7.055
COM,1969,232.912,44.158,45.013,11.089,7.06
COM,1970,239.092,44.863,45.469,11.138,7.061
COM,1971,245.609,45.581,45.898,11.186,7.098
COM,1972,252.523,46.305,46.348,11.24,7.119
COM,1973,259.85,46.881,46.626,11.268,7.142
COM,1974,267.606,47.474,46.92,11.305,7.134
COM,1975,275.831,46.628,46.114,11.148,7.121
COM,1976,284.241,48.523,47.338,11.341,7.114
COM,1977,293.378,49.047,47.516,11.361,7.101
COM,1978,302.926,49.67,47.773,11.399,7.097
COM,1979,312.951,50.251,47.986,11.422,7.104
COM,1980,323.295,50.8,48.154,11.439,7.082
COM,1981,333.361,51.312,48.309,11.431,7.077
COM,1982,342.61,51.895,48.521,11.461,7.067
COM,1983,351.497,52.273,48.616,11.467,7.046
COM,1984,360.778,52.941,48.848,11.502,7.011
COM,1985,370.551,53.482,49.057,11.53,6.96
COM,1986,380.749,54.029,49.275,11.562,6.894
COM,1987,391.387,54.368,49.369,11.568,6.817
COM,1988,402.388,54.95,49.606,11.608,6.725
COM,1989,413.751,55.224,49.587,11.62,6.618
COM,1990,425.417,55.84,49.961,11.668,6.497
COM,1991,436.821,56.194,50.048,11.684,6.358
COM,1992,447.733,56.733,50.326,11.727,6.205
COM,1993,458.246,57.276,50.618,11.78,6.052
COM,1994,468.39,57.694,50.822,11.817,5.897
COM,1995,478.567,58.015,50.953,11.833,5.784
COM,1996,488.954,58.344,51.141,11.863,5.69
COM,1997,499.621,58.39,51.034,11.87,5.593
COM,1998,510.445,58.407,51.12,11.851,5.492
COM,1999,521.473,58.781,51.349,11.889,5.372
COM,2000,531.414,58.757,51.35,11.896,5.297
COM,2001,542.101,59.163,51.622,11.938,5.254
COM,2002,553.381,59.056,51.557,11.935,5.206
COM,2003,564.713,59.258,51.672,11.959,5.149
COM,2004,575.547,59.48,51.814,11.982,5.095
COM,2005,586.76,59.604,51.812,11.985,5.03
COM,2006,598.606,59.875,51.939,12.017,4.955
COM,2007,610.709,60.102,52.027,12.048,4.882
COM,2008,623.09,60.475,52.193,12.087,4.826
COM,2009,635.849,60.831,52.379,12.126,4.791
COM,2010,649.137,61.123,52.503,12.159,4.759
COM,2011,662.911,61.503,52.697,12.206,4.721
COM,2012,677.23,61.834,52.867,12.251,4.641
COM,2013,691.875,62.224,53.074,12.305,4.568
COM,2014,706.91,62.516,53.214,12.351,4.492
COM,2015,722.314,62.896,53.43,12.408,4.418
COM,2016,738.117,63.237,53.606,12.475,4.348
COM,2017,754.347,63.625,53.833,12.54,4.278
COM,2018,768.981,63.912,53.966,12.588,4.196
COM,2019,783.646,64.068,53.974,12.606,4.125
COM,2020,798.326,64.166,53.884,12.217,4.052
COM,2021,814.006,63.417,52.935,11.684,3.978
DJI,1950,61.361,40.566,44.997,11.094,6.854
DJI,1951,63.307,40.803,45.142,11.147,6.851
DJI,1952,65.327,41,45.174,11.152,6.848
DJI,1953,67.397,41.315,45.296,11.194,6.858
DJI,1954,69.59,41.598,45.384,11.225,6.848
DJI,1955,71.839,41.795,45.369,11.22,6.854
DJI,1956,74.155,42.12,45.5,11.262,6.855
DJI,1957,76.589,42.374,45.56,11.273,6.834
DJI,1958,79.106,42.703,45.668,11.311,6.845
DJI,1959,81.685,42.976,45.715,11.322,6.847
DJI,1960,84.364,43.429,45.943,11.401,6.828
DJI,1961,87.516,43.721,46.006,11.425,6.829
DJI,1962,91.025,44.088,46.161,11.478,6.836
DJI,1963,95.219,44.414,46.267,11.515,6.837
DJI,1964,100.121,44.667,46.296,11.523,6.846
DJI,1965,105.769,45.088,46.482,11.586,6.845
DJI,1966,111.774,45.474,46.619,11.627,6.854
DJI,1967,117.974,45.907,46.761,11.673,6.846
DJI,1968,124.362,46.438,46.969,11.741,6.852
DJI,1969,130.974,46.982,47.165,11.804,6.847
DJI,1970,139.806,47.511,47.339,11.858,6.857
DJI,1971,148.952,47.358,46.991,11.816,6.858
DJI,1972,159.498,48.528,47.659,11.95,6.853
DJI,1973,170.971,49.119,47.935,12.037,6.823
DJI,1974,183.682,49.524,48.088,12.078,6.8
DJI,1975,199.096,49.87,48.229,12.112,6.769
DJI,1976,218.067,50.058,48.241,12.112,6.73
DJI,1977,240.541,50.568,48.44,12.171,6.694
DJI,1978,265.624,51.049,48.631,12.226,6.654
DJI,1979,291.226,51.518,48.822,12.276,6.607
DJI,1980,314.486,51.947,48.966,12.314,6.553
DJI,1981,333.756,52.262,49.067,12.338,6.491
DJI,1982,348.876,52.765,49.238,12.38,6.443
DJI,1983,361.344,53.18,49.386,12.421,6.387
DJI,1984,374.107,53.703,49.631,12.497,6.328
DJI,1985,390.206,54.067,49.758,12.529,6.263
DJI,1986,411.212,54.481,49.916,12.576,6.219
DJI,1987,437.359,54.775,49.992,12.595,6.171
DJI,1988,467.185,55.161,50.163,12.644,6.117
DJI,1989,497.488,55.273,50.117,12.63,6.055
DJI,1990,544.719,55.498,50.178,12.661,5.982
DJI,1991,609.628,55.156,49.536,12.651,5.877
DJI,1992,647.414,54.452,48.536,12.617,5.774
DJI,1993,598.979,55.774,50.127,12.682,5.663
DJI,1994,623.482,55.505,49.987,12.608,5.529
DJI,1995,623.473,56.302,50.404,12.713,5.34
DJI,1996,635.764,56.186,50.217,12.654,5.153
DJI,1997,653.534,55.967,49.968,12.597,4.957
DJI,1998,682.038,56.176,50.035,12.602,4.777
DJI,1999,707.802,56.427,50.127,12.646,4.67
DJI,2000,730.94,56.573,50.178,12.646,4.578
DJI,2001,753.125,56.903,50.32,12.681,4.496
DJI,2002,777.856,57.215,50.46,12.721,4.379
DJI,2003,800.401,57.595,50.658,12.78,4.247
DJI,2004,812.421,57.759,50.741,12.8,4.113
DJI,2005,824.325,58.316,51.018,12.893,3.992
DJI,2006,837.398,58.715,51.235,12.955,3.855
DJI,2007,856.495,59.024,51.378,13.003,3.724
DJI,2008,873.897,59.365,51.517,13.051,3.589
DJI,2009,891.875,59.673,51.663,13.081,3.487
