city,province,date,year,month,fuel_price,units
St. John's,Newfoundland and Labrador,2015-01-01,2015,1,95.8,Cents per litre
Charlottetown and Summerside,Prince Edward Island,2015-01-01,2015,1,91.5,Cents per litre
Halifax,Nova Scotia,2015-01-01,2015,1,91.6,Cents per litre
Saint John,New Brunswick,2015-01-01,2015,1,90.8,Cents per litre
Québec,Quebec,2015-01-01,2015,1,97,Cents per litre
Montréal,Quebec,2015-01-01,2015,1,102.3,Cents per litre
Ottawa-Gatineau,Ontario,2015-01-01,2015,1,88.6,Cents per litre
Toronto,Ontario,2015-01-01,2015,1,91,Cents per litre
Thunder Bay,Ontario,2015-01-01,2015,1,98.1,Cents per litre
Winnipeg,Manitoba,2015-01-01,2015,1,82.4,Cents per litre
Regina,Saskatchewan,2015-01-01,2015,1,83.4,Cents per litre
Saskatoon,Saskatchewan,2015-01-01,2015,1,84.9,Cents per litre
Edmonton,Alberta,2015-01-01,2015,1,72.4,Cents per litre
Calgary,Alberta,2015-01-01,2015,1,77.9,Cents per litre
Vancouver,British Columbia,2015-01-01,2015,1,102.9,Cents per litre
Victoria,British Columbia,2015-01-01,2015,1,98.9,Cents per litre
Whitehorse,Yukon,2015-01-01,2015,1,101.4,Cents per litre
Yellowknife,Northwest Territories,2015-01-01,2015,1,107,Cents per litre
St. John's,Newfoundland and Labrador,2015-02-01,2015,2,106.8,Cents per litre
Charlottetown and Summerside,Prince Edward Island,2015-02-01,2015,2,100.2,Cents per litre
Halifax,Nova Scotia,2015-02-01,2015,2,100.1,Cents per litre
Saint John,New Brunswick,2015-02-01,2015,2,95.5,Cents per litre
Québec,Quebec,2015-02-01,2015,2,101.4,Cents per litre
Montréal,Quebec,2015-02-01,2015,2,112,Cents per litre
Ottawa-Gatineau,Ontario,2015-02-01,2015,2,98.2,Cents per litre
Toronto,Ontario,2015-02-01,2015,2,101.4,Cents per litre
Thunder Bay,Ontario,2015-02-01,2015,2,106.3,Cents per litre
Winnipeg,Manitoba,2015-02-01,2015,2,89.7,Cents per litre
Regina,Saskatchewan,2015-02-01,2015,2,93.5,Cents per litre
Saskatoon,Saskatchewan,2015-02-01,2015,2,94.6,Cents per litre
Edmonton,Alberta,2015-02-01,2015,2,82.4,Cents per litre
Calgary,Alberta,2015-02-01,2015,2,87.9,Cents per litre
Vancouver,British Columbia,2015-02-01,2015,2,117.2,Cents per litre
Victoria,British Columbia,2015-02-01,2015,2,103.2,Cents per litre
Whitehorse,Yukon,2015-02-01,2015,2,97.4,Cents per litre
Yellowknife,Northwest Territories,2015-02-01,2015,2,110.2,Cents per litre
St. John's,Newfoundland and Labrador,2015-03-01,2015,3,113.3,Cents per litre
